Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2013 [YR2013]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,2110.82956797747,2128.12593822669,2023.83465629732,2096.09311055337,2110.23938365518,2168.13376468689,2078.59508637203,1673.96405892148,2062.05917625276
Afghanistan,AFG,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,..,..,80.4000015258789,..,..,..,..,..,71.2439422607422,..
Afghanistan,AFG,Population density (people per sq. km of land area),EN.POP.DNST,..,50.160541526762,51.7509145546816,53.1042837649295,54.6485411587937,56.2482314520951,57.9082516903546,59.7522806371985,61.4805544056544,48.3590282569032
Afghanistan,AFG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,785,776,750,682,663,644,620,..,821
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,73.4,70.2,67.2,64.6,62.2,59.9,57.8,55.7,76.8
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4169.01953247279,3471.66512500161,3498.86489254846,3592.09262122447,3635.25964188722,3724.99488205962,3778.21023573332,3624.82067414281,3858.00465124489,3334.65469606855
Africa Eastern and Southern,AFE,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,83.3357391357422,82.6380615234375,82.7752532958984,83.049560546875,82.9531707763672,83.0206909179688,83.367561340332,83.3893966674805,83.2841796875,82.4686279296875
Africa Eastern and Southern,AFE,Population density (people per sq. km of land area),EN.POP.DNST,..,39.316203314029,40.417927553128,41.5205707634619,42.6232549793843,43.7690818968299,44.9469295848787,46.150813141707,47.354182530972,38.2545199953888
Africa Eastern and Southern,AFE,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,425,410,392,381,364,354,347,..,442
Africa Eastern and Southern,AFE,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,72.4923836880967,69.8691858575132,67.3639290496706,65.0910528384151,62.8571893618424,60.8559168091663,59.0873088673173,57.2847270993243,75.4426897327386
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,4798.43451885274,4144.25966179152,4077.32142361182,4003.75655859256,4051.27119923512,4161.78275580639,4267.0505221923,4179.6323660463,4429.95213293156,3952.02318774119
Africa Western and Central,AFW,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,77.4117202758789,73.1501998901367,73.8682022094727,73.9431991577148,74.9501113891602,76.9661483764648,76.6367492675781,76.7849578857422,77.0830612182617,72.2678680419922
Africa Western and Central,AFW,Population density (people per sq. km of land area),EN.POP.DNST,..,43.9824434156037,45.1802249225606,46.4059908598264,47.6618604476341,48.9340692566036,50.2229838665101,51.5366792865574,52.862912544898,42.8049933781277
Africa Western and Central,AFW,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,811,788,787,780,779,764,733,..,808
Africa Western and Central,AFW,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,111.432027289881,109.185388765793,106.891019087017,104.627006239061,102.014143939794,99.5519597978544,96.92830727855,94.3722350431445,113.664250457502
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,18551.716479374,11259.3036811774,11658.8948969978,12078.7993344718,12770.9918634405,13498.184606593,14407.4376451051,14064.0386149862,15532.7060558643,10570.9660445504
Albania,ALB,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,99.0999984741211,..,..,..,99.5599975585938,..,..,..,..,..
Albania,ALB,Population density (people per sq. km of land area),EN.POP.DNST,..,105.441751824818,105.135145985401,104.967189781022,104.870693430657,104.612262773723,104.167554744526,103.571131386861,102.615547445255,105.660291970803
Albania,ALB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,7,7,7,7,5,5,8,..,7
Albania,ALB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,..,9.9,9.6,9.4,9.3,9.3,9.4,9.4,9.5,10.5
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13209.5967685963,13058.1245739587,12071.8141810043,11685.4514179182,11809.4830333846,12007.7747128314,12120.4063738912,11452.226623766,12170.1937765589,13104.7371038263
Algeria,DZA,"Literacy rate, youth male (% of males ages 15-24)",SE.ADT.1524.LT.MA.ZS,..,..,..,..,..,97.5940628051758,64.7900009155273,..,..,..
Algeria,DZA,Population density (people per sq. km of land area),EN.POP.DNST,..,16.2738871581281,16.6026255583626,16.9369083372205,17.2716286111714,17.6035123046545,17.9303156808402,18.2436570559099,18.5486033116111,15.9549850109584
Algeria,DZA,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,86,89,89,89,79,77,78,..,94
